"case_id","title","citation","full_text","source_url"
"08d543e7-7ff9-4919-8787-7e07d20801ce","Samuda v Secretary of State for Work and Pensions & Anor [2014] EWCA Civ 1","[""[2014] EWCA Civ 1""]; []",,"html"
"019bcb65-2591-4aaa-ba01-920acd8fdabe","Haxton v Philips Electronics UK Ltd [2014] EWCA Civ 4","[""2014] EWCA Civ 4"", ""[2014] 2 All ER 225"", ""[2014] 1 WLR 2721"", ""[2014] WLR(D) 19"", ""[2014] WLR 2721"", ""[2014] PIQR P11""]; []",,"html"
"a08f5ddb-ddbf-4b94-84c9-97ad2f4d77bd","Murrills v Berlanda & Anor [2014] EWCA Civ 6","[""2014""]; []",,"html"
"c17e5731-1af4-47f7-ac3a-41aa49443598","Secretary of State for the Home Department v Rodriguez [2014] EWCA Civ 2","[""[2014] EWCA Civ 2""]; []",,"html"
"66916f1f-18bd-4a5b-b6d6-640bdb943776","Hicks & Ors v Commissioner of Police of the Metropolis","[""[2014] Crim LR 681"", ""[2014] EWCA Civ 3"", ""[2014] WLR(D) 30"", ""[2014] WLR 2152"", ""[2014] 2 Cr App R 4"", ""[2014] HRLR 11"", ""[2014] 1 WLR 2152""]; []",,"html"
"ce3a6df1-7368-420e-9f51-a190f436b480","Fage UK Ltd & Anor v Chobani UK Ltd & Anor","[""[2014] EWCA Civ 5""]; []",,"html"
"65471d05-3881-45fa-b027-cc62179ae86b","ZZ v Secretary of State for the Home Department","[""[2014] 2 WLR 791"", ""[2014] 2 CMLR 49"", ""[2014] WLR(D) 26"", ""[2014] 3 All ER 587"", ""[2014] EWCA Civ 7"", ""[2014] INLR 858"", ""[2014] QB 820""]; []",,"html"
"6d2a3c0b-3ba5-4b92-9e2c-64656acc870c","Rajaratnam v Secretary of State for the Home Department [2014] EWCA Civ 8","[""[2014] EWCA Civ 8""]; []",,"html"
"f7eeb48f-eaa2-46b2-bd6e-8938f828540c","Bishop v Golstein [2014] EWCA Civ 10","[""[2014] 3 All ER 397"", ""[2014] 1 Ch 455"", ""[2014] 1 CH 455"", ""[2014] CH 455"", ""[2014] WLR(D) 75"", ""[2014] EWCA Civ 10"", ""[2014] 2 WLR 1448""]; []",,"html"
"19cf5b33-b155-419a-959e-5f97e274b81a","Rahman v Secretary of State for the Home Department [2014] EWCA Civ 11","[""[2014] EWCA Civ 11"", ""[2014] WLR(D) 78"", ""[2014] WLR 3574"", ""[2014] 1 WLR 3574""]; []",,"html"
"890029e3-5850-4eb7-8ea7-49d075f0ae77","Skrzynski & Anor v The Commissioner of Police for the Metropolis","[""[2014] EWCA Civ 9""]; []",,"html"
"c7e319c5-b6b4-446b-9ea6-fcca4aad19aa","Smith v Doncaster Metropolitan Borough Council [2014] EWCA Civ 16","[""[2014] EWCA Civ 16""]; []",,"html"
"53a0cdd4-3872-47c2-81cf-e3813685e478","Perform Content Services Ltd v Ness Global Services Ltd","[""2021] ILPr 34"", ""[2022] 2 All ER 887"", ""[2021] BLR 485"", ""[2021] 2 CLC 383"", ""[2021] WLR(D) 375"", ""[2022] 1 All ER (Comm) 323"", ""[2021] 1 WLR 4146"", ""[2021] EWCA Civ 981"", ""[2021] WLR 4146""]; []",,"html"
"cd98cd93-1541-413a-916a-6811c8458732","Cornwall Council, R (on the application of) v Secretary of State for Health & Ors","[""[2014] WLR(D) 80"", ""[2014] 1 WLR 3408"", ""[2014] EWCA Civ 12"", ""[2014] 2 FCR 606"", ""[2014] 3 All ER 603"", ""[2014] HLR 34"", ""(2014) 17 CCL Rep 78"", ""[2014] BLGR 433""]; []",,"html"
"99c5b445-c3dc-43af-8ad1-ff4a81f96de5","Thevarajah v Riordan & Ors [2014] EWCA Civ 14","[""[2014] CP Rep 19"", ""[2014] 1 Costs LR 163"", ""[2014] EWCA Civ 14""]; []",,"html"
"bcbdb5d9-a183-4364-b31d-638354462525","Robinson v Chief Constable of West Yorkshire Police","[""2014 EWCA Civ 15""]; []",,"html"
"95ae5acc-980d-409a-a423-7858ae4543ee","MA & Ors, R (on the application of) v The Secretary of State for Work and Pensions","[""[2014] PTSR 584"", ""[2014] WLR(D) 87"", ""[2014] EWCA Civ 13""]; []",,"html"
"df31e7f9-7109-4d2f-8061-acb4974c1b8e","Bone v North Essex Partnership NHS Foundation Trust [2014] EWCA Civ 652","[""2014] WLR(D) 214"", ""[2014] IRLR 635"", ""[2014] EWCA Civ 652"", ""[2014] ICR 1053"", ""[2014] 3 All ER 964""]; []",,"html"
"5b2c5d39-bf4f-4b6e-bb6e-1d47856493e9","O'Connell v Rollings & Ors (Administrators of Musion Systems Ltd) [2014] EWCA Civ 639","[""[2014] EWCA Civ 639""]; []",,"html"
"2e8cd90f-14cd-407a-a574-f3f7218e2eb8","Re B (A Child) [2014] EWCA Civ 19: Appeal Against Relocation Permission","[""[2014] EWCA Civ 19""]; []",,"html"
"14e4160c-29e9-4935-b168-0aeaa7823479","Free Grammar School of John Lyon v Helman [2014] EWCA Civ 17","[""2014] EWCA Civ 17"", ""[2014] L & TR 15"", ""[2015] WLR(D) 20"", ""[2014] 1 WLR 2451"", ""[2014] WLR 2451"", ""[2014] 1 P & CR 16"", ""[2014] BPIR 406"", ""[2014] HLR 26""]; []",,"html"
"41da49dd-2737-476e-9de5-522b26609ef7","Taylor v Burton & Anor [2014] EWCA Civ 21","[""2014] EWCA Civ 21"", ""2014] 3 Costs LO 337""]; [""[2014] EWCA Civ 21"", ""[2014] 3 Costs LO 337""]",,"html"
"32da8b2b-114f-4a55-8fff-21b61538b4ca","BT Pension Scheme Trustees v HM Revenue & Customs [2014] EWCA Civ 23","[""2014] STI 472"", ""2014] STC 1156"", ""2014] BTC 4"", ""2014] EWCA Civ 23""]; []",,"html"
"0bd39d33-1004-43e2-8622-23d5e500fb18","Price & Anor v Davis & Anor [2014] EWCA Civ 26","[""[2014] WLR 2129"", ""[2014] EWCA Civ 26"", ""[2014] 1 WLR 2129"", ""[2014] BPIR 494"", ""[2014] WLR(D) 16""]; []",,"html"
"266ac1a7-a2c3-4e3c-a796-77aaa9489ca2","Re S (A Child) – England and Wales Court of Appeal (Civil Division)","[""2014] Fam Law 429"", ""[2014] EWCA Civ 25"", ""[2014] 1 FCR 477""]; []",,"html"
"dda2b040-e66f-455b-9db4-9271ec318aa0","JKX Oil & Gas Plc & Ors v Eclairs Group Ltd [2014] EWCA Civ 640","[""[2014] EWCA Civ 640"", ""[2014] WLR(D) 204"", ""[2014] Bus LR 835""]; []",,"html"
"ba75f176-358e-4362-94a3-d98631c41e29","Joint Stock Company (Aeroflot - Russian Airlines) v Berezovsky & Anor [2014] EWCA Civ 20","[""[2014] EWCA Civ 20""]; []",,"html"
"b8f5594c-ac32-4dd3-804a-fd0c938c4401","Topland Portfolio No 1 Ltd v Smiths News Trading Ltd [2014] EWCA Civ 18","[""2014] EWCA Civ 18""]; []",,"html"
"77beedae-1cd7-4503-8349-0ec2e3d21098","Hubbard v Bank of Scotland Plc (t/a Birmingham Midshires) & Anor [2014] EWCA Civ 648","[""[2014] EWCA Civ 648""]; []",,"html"
"50968bde-cfcc-401f-bf69-0b55894a3fc1","Bank of Scotland Plc v Joseph & Ors [2014] EWCA Civ 28","[""[2014] EWCA Civ 28""]; []",,"html"
"5b87b353-2d9c-4c36-9490-a921ebe36e58","Slattery v Basildon Borough Council [2014] EWCA Civ 30","[""[2014] EWCA Civ 30""]; []",,"html"
"ee6d167b-5778-437c-971b-bf278702b390","Barnes v HM Revenue and Customs [2014] EWCA Civ 31","[""[2014] EWCA Civ 31""]; []",,"html"
"f72b1dd6-125a-489f-900f-6988f6418708","Personnel Hygiene Services Ltd v. Rentokil Initial UK Ltd","[""[2014] EWCA Civ 29""]; []",,"html"
"ac6c304a-0226-46d7-ba8b-4db4def29ae5","Bolton & Ors v St Anselm Development Company Ltd","[""[2014] EWCA Civ 27""]; []",,"html"
"6a4f60eb-fe33-4ebf-96cd-40752bcb2b70","Khan, R (On the Application Of) v The Secretary of State for Foreign And Commonwealth Affairs","[""[2014] 1 WLR 872"", ""[2014] EWCA Civ 24"", ""[2014] WLR(D) 14"", ""[2014] WLR 872""]; []",,"html"
"5c2719bb-df7d-4d55-a473-dd5087c1d2e8","Reed Employment Ltd v HM Revenue and Customs","[""2014 WLR(D) 23"", ""2014 BVC 6"", ""2014 EWCA Civ 32"", ""2014 STI 868"", ""2014 STC 1026""]; []",,"html"
