draft_id,case_doc_id,input_type,citation_mentions,correct_mentions,incomplete_mentions,incorrect_mentions,strict_defect_mentions,strict_defect_rate,incorrect_rate
cmsbrvtc4001304jp5e4691on,2023-002546-ryanair-dac-v-jason-lutz-appellant-skeleton,real,3,3,0,0,0,0.0,0.0
cmsbracw1001r04l4az8ukhd1,ca-2023-002207-mr-demetrios-karpasitis-v-hertfordshire-county-appellant-skeleton,real,2,1,1,0,1,0.5,0.0
cmsbrc37v001x04l4t7r77h89,ca-2023-002207-mr-demetrios-karpasitis-v-hertfordshire-county-appellant-skeleton,real,2,2,0,0,0,0.0,0.0
cmsbskr86000h04ji5a4thcht,ca-2023-002537-storm-global-limited-v-jason-lutz-appellant-skeleton,real,2,2,0,0,0,0.0,0.0
cmmc4a8zu000h04jx2w3r0hzo,ca-2024-000255-ellis-v-ssj-appellant-skeleton,real,2,1,0,1,1,0.5,0.5
cmmjsmua2000q04jstd4i8p7c,ca-2024-000255-ellis-v-ssj-appellant-skeleton,real,1,1,0,0,0,0.0,0.0
cmmjtnsdx000904l4vhap8xwc,ca-2024-000255-ellis-v-ssj-appellant-skeleton,real,2,2,0,0,0,0.0,0.0
cmmrr64va000h04jvzuquhz2y,ca-2024-000255-ellis-v-ssj-appellant-skeleton,real,2,2,0,0,0,0.0,0.0
cmsbqvqsj000h04jnb8tn656h,ca-2024-000255-the-king-on-the-application-of-appellant-skeleton,real,2,2,0,0,0,0.0,0.0
cmsbsp3em001104ji2u62id7q,ca-2024-000624 and ca-2024-000625-the-royal-embassy-of-saudi-arabia-appellant-skeleton,real,2,2,0,0,0,0.0,0.0
cmsbsqcqm001d04ji3ses9ih9,ca-2024-000624 and ca-2024-000625-the-royal-embassy-of-saudi-arabia-appellant-skeleton,real,1,1,0,0,0,0.0,0.0
cmsbr3045000j04l4tkps7ymp,ca-2024-000806-hippodrome-casino-ltd-v-hmrc-appellant-skeleton,real,3,2,1,0,1,0.3333333333333333,0.0
cmsbr4fhb000v04l4mgwtz5x1,ca-2024-000806-hippodrome-casino-ltd-v-hmrc-appellant-skeleton,real,1,1,0,0,0,0.0,0.0
cmsbr6p4p001704l4z7u6108h,ca-2024-000806-hippodrome-casino-ltd-v-hmrc-appellant-skeleton,real,1,1,0,0,0,0.0,0.0
cms1ps00j000j04jsbxrn9wrj,ca-2024-001541-the-king-on-the-application-of-respondent-skeleton,real,2,2,0,0,0,0.0,0.0
cms1u865i000904jxu5huyjg5,ca-2024-001541-the-king-on-the-application-of-respondent-skeleton,real,2,2,0,0,0,0.0,0.0
cmsbj40n7000h04jwpx41ia5n,ca-2024-001541-the-king-on-the-application-of-respondent-skeleton,real,2,2,0,0,0,0.0,0.0
cmsbrqmhv000j04jp78i2n3gf,ca-2024-001951-ksy-juice-blends-uk-limited-v-skeleton,real,2,2,0,0,0,0.0,0.0
cmsbr021t001104jndbjo02xo,ca-2024-002003-greenfields-iow-limited-v-isle-of-appellant-skeleton,real,2,2,0,0,0,0.0,0.0
