authority_key,authority,citation_type,mention_count,judgment_count,real_mentions,real_judgment_count,synthetic_mentions,synthetic_judgment_count,retrieved_and_cited_mentions,corpus_not_retrieved_mentions,not_found_in_registry_mentions,source_id_mismatch_mentions,citation_conflict_mentions,invalid_source_id_mentions,statuses_observed,citation_variants,matched_retrieved_cases,matched_corpus_cases,invalid_source_ids,review_priority,manual_review_needed,case_exists_external,citation_correct_external,authoritative_source_url,review_notes
case:english v emery reimbold and strick ltd,English v Emery Reimbold & Strick Ltd [2002] EWCA Civ 605,case_law,35,35,22,22,13,13,0,34,0,1,0,0,in_corpus_not_retrieved: 34 || retrieved_id_citation_mismatch: 1,English v Emery Reimbold & Strick Ltd [2002] EWCA Civ 605 || [2002] EWCA Civ 605,,English v Emery Reimbold & Strick Ltd,,high,yes,,,,
case:flannery v halifax estate agencies ltd,Flannery v Halifax Estate Agencies Ltd [2000] 1 WLR 377,case_law,35,35,21,21,14,14,0,0,31,4,0,0,not_found_in_corpus_registry: 31 || retrieved_id_citation_mismatch: 4,Flannery v Halifax Estate Agencies Ltd || Flannery v Halifax Estate Agencies Ltd [2000] 1 WLR 377 || [2000] 1 WLR 377,,,,high,yes,,,,
case:gorringe v calderdale metropolitan borough council,Gorringe v. Calderdale Metropolitan Borough Council [2004] 1 WLR 1057,case_law,3,3,2,2,1,1,2,0,0,1,0,0,retrieved_and_cited: 2 || retrieved_id_citation_mismatch: 1,Gorringe v. Calderdale Metropolitan Borough Council || Gorringe v. Calderdale Metropolitan Borough Council [2004] 1 WLR 1057 || [2004] 1 WLR 1057,Gorringe v. Calderdale Metropolitan Borough Council,Gorringe v. Calderdale Metropolitan Borough Council,,high,yes,,,,
case_law:2015 uksc 5,[2015] UKSC 5,case_law,1,1,0,0,1,1,0,0,0,1,0,0,retrieved_id_citation_mismatch: 1,[2015] UKSC 5,,Jackson v Murray & Anor [2015] UKSC 5,,high,yes,,,,
case_law:2020 4 wlr 55,[2020] 4 WLR 55,case_law,1,1,1,1,0,0,0,0,0,1,0,0,retrieved_id_citation_mismatch: 1,[2020] 4 WLR 55,,,,high,yes,,,,
case:j a pye oxford ltd v graham,J A Pye (Oxford) Ltd v. Graham [2002] UKHL 30,case_law,1,1,0,0,1,1,0,0,0,1,0,0,retrieved_id_citation_mismatch: 1,J A Pye (Oxford) Ltd v. Graham [2002] UKHL 30,,,,high,yes,,,,
case:phones 4u ltd v phone4u co uk internet ltd,Phones 4U Ltd v Phone4u.co.uk Internet Ltd,case_law,1,1,0,0,1,1,0,0,1,0,0,1,not_found_in_corpus_registry: 1,Phones 4U Ltd v Phone4u.co.uk Internet Ltd,,,lidl_case_id,high,yes,,,,
case:royal mail ltd v jhuti,Royal Mail Ltd v Jhuti (2019) EWCA Civ 1632,case_law,1,1,0,0,1,1,0,0,0,0,1,0,retrieved_case_name_citation_conflict: 1,Royal Mail Ltd v Jhuti (2019) EWCA Civ 1632,Royal Mail Ltd v Jhuti [2017] EWCA Civ 1632,Royal Mail Ltd v Jhuti [2017] EWCA Civ 1632,,high,yes,,,,
case:armitage v nurse,Armitage v Nurse [1998] Ch 241,case_law,4,4,0,0,4,4,0,0,4,0,0,0,not_found_in_corpus_registry: 4,Armitage v Nurse [1998] Ch 241,,,,medium,yes,,,,
case:spread trustee co ltd v hutcheson,Spread Trustee Co Ltd v Hutcheson [2011] UKPC 13,case_law,3,3,0,0,3,3,0,0,3,0,0,0,not_found_in_corpus_registry: 3,Spread Trustee Co Ltd v Hutcheson [2011] UKPC 13,,,,medium,yes,,,,
case:hmrc v volkswagen financial services,HMRC v Volkswagen Financial Services (Case C-153/17),case_law,2,2,2,2,0,0,0,0,2,0,0,0,not_found_in_corpus_registry: 2,HMRC v Volkswagen Financial Services || HMRC v Volkswagen Financial Services (Case C-153/17),,,,medium,yes,,,,
case:r burkett v hammersmith lbc,R (Burkett) v Hammersmith LBC [2002] 1 WLR 1593,case_law,2,2,2,2,0,0,0,0,2,0,0,0,not_found_in_corpus_registry: 2,R (Burkett) v Hammersmith LBC [2002] 1 WLR 1593,,,,medium,yes,,,,
case_law:2015 uksc 11,[2015] UKSC 11,case_law,1,1,0,0,1,1,0,0,1,0,0,0,not_found_in_corpus_registry: 1,[2015] UKSC 11,,,,medium,yes,,,,
case:bolam v friern hospital management committee,Bolam v Friern Hospital Management Committee [1957],case_law,1,1,0,0,1,1,0,0,1,0,0,0,not_found_in_corpus_registry: 1,Bolam v Friern Hospital Management Committee [1957],,,,medium,yes,,,,
case:caparo industries plc v dickman,Caparo Industries Plc v Dickman [1990] 2 AC 605,case_law,1,1,0,0,1,1,0,0,1,0,0,0,not_found_in_corpus_registry: 1,Caparo Industries Plc v Dickman [1990] 2 AC 605,,,,medium,yes,,,,
